Signatur;Kategorie;Schreiber;Empfaenger;Datierung;Ort;Regest;Bemerkungen;Olim;InterneBemerkung;ErfasstVon;ErfasstAm;GeaendertAm;Exportiert;ExportiertAm;ExportHinweis
9.6.106;Brief;Klinger, Moritz;k.k. priv. Wien-Gloggnitzer-Eisenbahn-Direktion;18460701;Wien;Ansuchen des Herrn Moritz Klinger um Verleihung einer Gepäcks-Expeditors-, Magazinärs- oder Kondukteurs-Stelle auf einem der Bahnhöfe der Direktion der k.k. priv. Wien-Gloggnitzer Eisenbahn;"darauf von anderern Hand vermerkt: ""Dieses Gesuch kann ich bestens anempfehlen vorzugsweise zu  ….."" Unterschrift ""Doblhoff"" - und wieder von anderern Hand mit Bleistift: ""Anton Frh. v. Doblhoff Dier Diplomat, kk Gesandter etc.  n. 10/11/1800, +20/1/1853"" - Es handelt sich dabei vermutlich um Anton Frh. von Doblhoff-Dier (1800-1872), war Mitglied des Österreichischen Reichsrats, Handeslminister, 1848  kurzfristi Innen- und Unterrichtsminister sowie Ministerpräsident, 1849-1858 Gesandter in den Niederlanden, 1861-1867 Abg. zum Landtag von NÖ, ab 1867 Mitglied des Herrenhauses";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 13:06:45;2026-06-01 14:24:39;Nein;;
9.6.107;Brief;Doblhoff;Perin (?);18560725;Haag;Schreiben Doblhoffs an den Schüler Perin betreffend Lernfortschritt und Übersendung von 50 Gulden als Beitrag für eine Ferienreise;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 13:33:41;2026-06-01 14:37:31;Nein;;
9.6.108;Visitenkarte;Doblhoff, Le Baron de;;;;;ebenfalls aufgedruckt auf die Visitenkarte: Envoyé Extraordinaire & Ministre Plénipotentiaire  de S. M. l'Empereur d'Autriche, &c. près S. M. le Roi des Pays-Bas. - handschriftlich darauf notiert: à La Hage en Hollande;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 14:24:42;2026-06-01 14:34:01;Nein;;
9.6.109;Brief;Doblhoff;;18760317;;"Brief gerichtet an einen ""verehrten Freund"" mit der Einladung, am 17. März um 5 Uhr zu ihm zu kommen, um die vorhandene Arbeit anzupacken.";"geschrieben auf dem Briefpapier des ""Comité zur Gründung eines Wissenschaftlichen Clubs in Wien""";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 14:34:04;2026-06-01 14:44:25;Nein;;
9.6.110;Karte;Eichendorff, Frh. Von;;Wiesbaden;19070227;Dank für liebenswürdige Zuschrift und Übersendung eines Siegelabdrucks, den der Absender durch Zufall erhalten hatte, Bücherzeichen hätte er aber keines.;;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 14:44:29;2026-06-01 15:09:06;Nein;;
9.6.111;;Esebeck;;;;;Der Name Baron v. Esebeck ist mit Bleistift von anderer Hand auf die Karte geschrieben, die Unterschrift selbst ist unleserlich.;Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 14:52:40;2026-06-01 15:09:44;Nein;;
9.6.112;Brief;Esebeck;;18820724;;;"Der Name Baron v. Esebeck ist mit Bleistift von anderer Hand auf die Karte geschrieben, die Unterschrift selbst ist unleserlich.
Auf der Rückseite des Briefes ist ebenfalls mit Bleistift notiert: ""Auf ungefettetem Leder für ….. geeignet."" und ""2 graue helle (?) - Buchbinder Lysatzowsky (?) V Liebenbrunnengasse 8""";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 14:56:52;2026-06-01 15:18:19;Nein;;
9.6.113;Visitenkarte;Fellner von Feldegg, Heinrich Freiherr;;;;spricht sein herzliches Beileid aus;"Auf der Rückseite ist mit Bleistift von anderer Hand (von P. Josef Schock ?) vermerkt:
""geb. 1820, k.k. Sektionschef, Präsident d. allgem. Versorgungsanstalt in Wien, verh. 1851 mit Wilhelmine von Murmann, Kinder Peter, Robert, Theodora, Hermine"" 
Heinrich Freiherr Fellner von Feldegg war Sektionschef am Rechnungshof, und u.a. Präsident der Donauregulierungskommission und beschloss 1864 mit dem Geologen Eduard Suess und Vizebürgermeister Cajetan Felder den Plan zur Verwirklichung der Wiener Hochquellenwasserleitung.";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 15:18:32;2026-06-01 15:29:43;Nein;;
9.6.114;Fragment;;;;;"Unterschrift ""Dein Georg""";"Fragment (Unterschrift) eines Briefes, mit Bleistift dazu notiert: ""Zentrumsführer zum ..…""
Auf dem Blatt, auf das die Unterschrift aufgeklebt ist, steht außerdem ""Georg Freiherr v. Frankenstein, Zentrumsführer"".
Georg Arbogast von und zu Franckenstein (1825-1900) war bayerischer Reichsrat und Abgeordneter, ab 1875 Vorsitzender der katholischen Zentrumspartei im Deutschen Reichstag.";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 15:29:55;2026-06-01 15:39:14;Nein;;
9.6.115;Visitenkarte;Fraydenegg u. Monzello, Otto Freiherr v.;;;Graz (?), Kroisbachgasse 4;Allerherzlichste Glückwünsche;"auf die Visitenkarte ist gedruckt: ""k.k. Landespräsident a.D.""
Otto Maria Freiherr Fraydt von Fraydenegg und Monzello (1851-1939) war von 1897-1903 Landespräsident in Kärnten, 1905-1919 Abgeordneter zum Steiermärkischen Landtag und 1932-1938 Präsident des Kuratoriums des Landesmuseums Joanneum in Graz.";Autographensammlung A2, Freiherrn A-N;;Maria Prüller;2026-06-01 15:39:18;2026-06-01 15:46:41;Nein;;
