Signatur;Kategorie;Schreiber;Empfaenger;Datierung;Ort;Regest;Bemerkungen;Olim;InterneBemerkung;ErfasstVon;ErfasstAm;GeaendertAm;Exportiert;ExportiertAm;ExportHinweis
9.6.1;Brief;Doerr, August von;vermutl. P. Joseph Schock;19120626;Smilkau, Böhmen;Anfrage zu Informationen über Martin Gastgeb, Hofrichter zu Seitenstetten, im Jahr 1568 ;;Autographensammlung A2, Adel 1;;;;;;;
9.6.2;Visitenkarte;Eiselsberg, Eugenie Edle von;;18790927;Linz;Glückwünsche zum Namensfest;;Autographensammlung A2, Adel 1;;;;;;;
9.6.3;Visitenkarte;Fabrici, Erwin Edler von Südwalden;;;;;;Autographensammlung A2, Adel 1;;;;;;;
9.6.4;Visitenkarte;Friedrich, Josef Ritter von Stromfeld;;19129999;;;;Autographensammlung A2, Adel 1;;;;;;;
9.6.5;Brief;Gutmann-Wodianer, Ida von;;;Wien;"Dank für schöne Karten und Ex Libris und Versicherung sich ""auf möglichst interessante Art zu revanchieren""";;Autographensammlung A2, Adel 1;;;;;;;
9.6.6;Foto;;;18730223;;Zur freundlichen Erinnerung an den alten Gefährten;;Autographensammlung A2, Adel 1;;;;;;;
9.6.7;Visitenkarte;Libianchi, Emilia;;;;;nata Giulj;Autographensammlung A2, Adel 1;;;;;;;
9.6.8;Visitenkarte;Mayr von Melnhof, Marie;;;;;;Autographensammlung A2, Adel 1;;;;;;;
9.6.9;Visitenkarte;Mertens, Gisela von;;;;;geb. Gräfin Forgach;Autographensammlung A2, Adel 1;;;;;;;
9.6.10;Visitenkarte;Neumann-Ettenreich, Dr. Robert von ;;;;;k.k. Landesgerichtsrath und a.o. Professor an der k.u.k. orientalischen Akademie;Autographensammlung A2, Adel 1;;;;;;;
9.6.11;Fragment;Posch, Johann Michael (?);;;;;Jahreszahl 1768 handschriftlich auf dem Blatt vermerkt;Autographensammlung A2, Adel 1;;;;;;;
9.6.12;Visitenkarte;Sperl de Raabthal, Francoise;;;;Glück- und Segenswünsche zum Jahreswechsel;;Autographensammlung A2, Adel 1;;;;;;;
9.6.13;Brief;Frau von Taulow;;19040223;;Bitte um Auskunft über den Student Julius Seelig, der 1903 im Stift Seitenstetten maturiert hat und  ihrem 11-jährigen Sohn Privatunterricht erteilen soll;geb. Baronin Bieschin;Autographensammlung A2, Adel 1;;;;;;;
9.6.14;Visitenkarte;Wolf de Törcsvár, Carl ;;;;;Hof- und Ministerialrath im Ministerium des kais. u. kön. Hauses und des Äußern;Autographensammlung A2, Adel 1;;;;;;;
9.6.15;Visitenkarte;Zimmeter, Alois von ;;18890222;;Einladung zu einer einfachen Abendunterhaltung;Landesbuchhalter i.P.;Autographensammlung A2, Adel 1;;;;;;;
9.6.16;Brief;Zimmeter, Alois ;;18890226;Innsbruck;Verschiebung der Abendunterhaltung wegen Todesfall;;Autographensammlung A2, Adel 1;;;;;;;
9.6.17;Brief;Zimmeter, Alois ;;18920213;Innsbruck;Dank für Anteilnahme am Tod seiner Gattin;;Autographensammlung A2, Adel 1;;;;;;;
9.6.18;Partezettel;Zimmeter-Treuherz, Alois von;Schock, P. Josef;18920116;Innsbruck;Partezettel von Josefine Zimmeter, Edle von Treuherz;;Autographensammlung A2, Adel 1;;;;;;;
9.6.19;;;;;;Abhandlung über das polnische Wappen Slepowron ;;Autographensammlung A2, Adel 1;;;;;;;
9.6.20;Karte;Bachofen von Echt, Karl Adolf von;;18990306;Wien;übersendet Neujahrskarten;;Autographensammlung A2, Adel 1;;;;;;;
9.6.21;Brief;;;18961127;Regensburg;die Fürstin Thurn und Taxis kommt einem Ansuchen nach und lässt eine Farb-Skizze übersenden;vom Fürstlichen Thurn und Taxischen Hofmarschallamt ausgefertigt und von Hofmarschall Baron von Beckendorf unterschrieben. Die Fürstin Thurn und Taxis damals war eine geborene Erzherzogin von Österreich - Margarete Klementine (1870-1955), Tochter von Erzherzog Karl Ludwig. Ihr Mann war Fürst Albert von Thurn und Taxis (1867-1952);Autographensammlung A2, Adel 1;;;;;;;
9.6.22;Visitenkarte;Kenner, Anton Ritter von;;;;;;Autographensammlung A2, Adel 1;;;;;;;
9.6.23;Visitenkarte;Bellmond, Karl Edler von Adlerhorst;;;;;Oberst;Autographensammlung A2, Adel 1;;;;;;;
9.6.24;Visitenkarte;Catharin, Friederike;;;;;;Autographensammlung A2, Adel 1;;;;;;;
9.6.25;Visitenkarte;Cishini, Madame de;;;;;;Autographensammlung A2, Adel 1;;;;;;;
9.6.26;Fragment;Dobner von Dobenau, Fritz;;;;;" k.u.k. Truchsess - Die Unterschrift - offensichtlich aus einem Brief - ist auf ein Blatt Papier geklebt und das Wort ""Kunstmäzen"" ist handschriftlich dazu vermerkt.";Autographensammlung A2, Adel 1;;;;;;;
9.6.27;Visitenkarte;Elverth, le chevalier Alfred de;;;;;Capitaine;Autographensammlung A2, Adel 1;;;;;;;
9.6.28;Visitenkarte;Fraydenegg-Monzello, Otto Ritter von;;18860513;;Er teilt mit, dass S.Ex. der Herr Unterrichtsminister gegen 2 Uhr vom Abgeordnetenhaus zurück sein und in seinem Büro am Minoritenplatz empfangen wird.;K.K. Minist.-Vice-Secretaer;Autographensammlung A2, Adel 1;;;;;;;
9.6.29;Visitenkarte;Gaal, Sidonie de;;;;;née Baronne Pöck;Autographensammlung A2, Adel 1;;;;;;;
9.6.30;Visitenkarte;Grimburg, Adolf Ritter v.;;;Baden bei Wien;;;Autographensammlung A2, Adel 1;;;;;;;
9.6.31;Visitenkarte;Hardt, Dr. Emil Ritter von und Frau;;;Reichsratsstraße 19, Wien, 1. Bezirk;ergebene Glückwünsche;Die Adresse ist von anderer Hand hinten auf die Visitenkarte geschrieben.;Autographensammlung A2, Adel 1;;;;;;;
9.6.32;Visitenkarte;Hattingberg, Josef Ritter von;;;;"übersendet einen Entwurf des Coratoriums der NÖ Landeshypothekenanstalt und bittet um Rücksprache über das ""genannte Elaborat""";rechtskundiger Director der N.Ö. Landes Hypotheken Anstalt;Autographensammlung A2, Adel 1;;;;;;;
9.6.33;Visitenkarte;Jongh, Francis de;;;;;;Autographensammlung A2, Adel 1;;;;;;;
9.6.34;Brief;Kallay, Vilma von;;19140623;;Dank für eine empfangene Photographie, Freude über Lebenszeichen aus Bosnien, würde sich über Besuch ihrer Freundin, an die der Brief gerichtet ist, und deren Gemahl freuen;Dem Brief liegt ein unterschriebenes Foto von Vilma Kallay bei, das ebenfalls die Signatur 9.6.34 erhalten hat.;Autographensammlung A2, Adel 1;;;;;;;
9.6.35;Visitenkarte;Kamler, Heinrich Ritter von;;;;;k.k. Hofrath, Vorstand der k.k. Post- und Telegraphen-Direktion für Oesterreich u.d. Enns;Autographensammlung A2, Adel 1;;;;;;;
9.6.36;Visitenkarte;Kisslinger, Ritter v.;;;Wollzeile 9 ;;k.k. Feldmarschallieutenant;Autographensammlung A2, Adel 1;;;;;;;
9.6.37;Visitenkarte;Kogerer, Heinrich Ritter von;;;;;k.k. Hofrath und General-director der Kaiser-Franz-Josef-Bahn;Autographensammlung A2, Adel 1;;;;;;;
9.6.38;Visitenkarte;Jaden, Irma Krticzka;;;;;;Autographensammlung A2, Adel 1;;;;;;;
9.6.39;Visitenkarte;Lakenbacher, Dr. Felix von;;;;;;Autographensammlung A2, Adel 1;;;;;;;
9.6.40;Visitenkarte;Le Fort, Madame Thérès de;;;;;neé de Koerber, handschriftlich vermerkt: Nichte Sr. exzellenz des Stadthalters Conrad v. Eybesfeld;Autographensammlung A2, Adel 1;;;;;;;
9.6.41;Brief;Litzelhofen, Julie von;Friess, Gottfried;18751227;Wien, 3. Bezirk, Heumarkt 13;"Julie von Litzelhofen übersendet ein Werk (""Österreichische Rechtsbücher des Mittelalters"") ihres verstorbenen ersten Gatten J. P. Kaltenbaeck an die Stiftsbibliothek, da er dafür im Stiftsarchiv forschen durfte.";"Brief ist gerichtet an ""Hochwürdigster Herr Bibliothekar!"" Julie von Litzelhofen war die Tochter von Peter Krafft, Direktor der k.k. Gemäldegalerie und Schloßhauptmann des Belvedere, und in erster Ehe verheiratet mit Johann Paul Kaltenbaeck, Geschichtsforscher (1804-1861)";Autographensammlung A2, Adel 1;;;;;;;
9.6.42;Visitenkarte;Princeps, Louis ;;;;;Chevalier;Autographensammlung A2, Adel 1;;;;;;;
9.6.43;Visitenkarte;Rabcewicz, August von;;;Graz, Landhaus;bittet seine herzlichste Gratulation entgegen zu nehmen;Direktor des steierm. Landes-Eisenbahn-Amtes;Autographensammlung A2, Adel 1;;;;;;;
9.6.44;Visitenkarte;Reininghaus, Herr und Frau Peter von;;;;;;Autographensammlung A2, Adel 1;;;;;;;
9.6.45;Visitenkarte;Reininghaus, Therese von;;;;Frau von Reininghaus fragt, ob Frau von Rochlitzer heute ihre Loge (Balkonloge 9) benützen wolle.;;Autographensammlung A2, Adel 1;;;;;;;
9.6.46;Visitenkarte;Reininghaus, J.P. von;;;;spricht seine Anteilnahme an einem schweren Trauerfall aus;;Autographensammlung A2, Adel 1;;;;;;;
9.6.47;Karte;Rebenburg, Hans von;;19081206;Graz;Dank für eine Gratulation;;Autographensammlung A2, Adel 1;;;;;;;
9.6.48;Karte;Rebenburg, Hans von;Höffler, Ritter von, Regierungsrat;19020621;Trofaiach;Korrespondenz über ein Gerücht;;Autographensammlung A2, Adel 1;;;;;;;
9.6.49;Karte;Rebenburg;;19080316;;;;Autographensammlung A2, Adel 1;;;;;;;
9.6.50;Karte;Rebenburg;;19061127;;Gratulation zur Auszeichnung;;Autographensammlung A2, Adel 1;;;;;;;
9.6.51;Visitenkarte;Ruber, Dr. Edler von;;;;;Oberlandesgerichts-Rath;Autographensammlung A2, Adel 1;;;;;;;
9.6.52;Visitenkarte;Rumler, Franz Edler von Aichenwehr;;;;fragt, ob er seinen Sohn, Student der 7. Klasse, besuchen kann;k.k. Ministerialrath - die Nachricht ist auf Latein geschrieben;Autographensammlung A2, Adel 1;;;;;;;
9.6.53;Visitenkarte;Sagburg, Günther von;;;;;k.k.n.ö. Statthalterei Concepts-Praktikant;Autographensammlung A2, Adel 1;;;;;;;
9.6.54;Brief;Reya, Alphons Ritter von;;18890830;Genua, bei der Riunione Adriatica di Sicurtà, Via Orefici Nr. 6;Der Absender übersendet ein Gesuch an die Gymnasialdirektion mit der Bitte an den Adressaten, dieses einzubegleiten und zu befürworten. Der Bittsteller verpflichte sich selbstverständlich, auf eigene Kosten dort zu leben und auf Wunsch ein curriculum vitae bekannt zu geben. ;;Autographensammlung A2, Adel 1;;;;;;;
9.6.55;Karte;Roessler;;18980302;;Beleidsbekundung;"Die Karte ist an eine ""gändige Frau"" gerichtet";Autographensammlung A2, Adel 1;;;;;;;
9.6.56;Brief;Schirl;;19029999;;Beratung in rechtlicher oder finanzieller Sache betreffend die Schwägerin des Adressaten;Da Grüße an den hw. Herrn Prälaten und die Herrn des Hauses ausgerichtet werden, liegt die Vermutung nahe, dass der Adressat ein Konvenutale des Stiftes Seitenstetten war.;Autographensammlung A2, Adel 1;;;;;;;
