Kategorie;SignaturUeberordnung;Schreiber;Empfaenger;Datierung;Ort;Regest;Bemerkungen;Olim;InterneBemerkung;Ueberfuehrt;UeberfuehrtAm;ErzeugteSignatur;UeberfuehrungsHinweis
Ernennung;;Statthalterei;Wagner, Aemilian;19120429;Wien;;S. 56;;;;;;
Amtliches Schreiben;;Landesschulrat;Wagner, Aemilian;19110405;Wien;;S. 57;;;;;;
Ansuchen um Aufnahme ins Kloster;;Wagner, Aemilian;Hönigl, Dominik;19000210;Seitenstetten;;S. 58-60;;;;;;
Litterae Testimoniales;;Rössler, Johannes;Wagner, Aemilian;19000828;St. Pölten;;S. 61;;;;;;
Vermögensregelung;;Wagner, Aemilian;;19010901;Seitenstetten;;S. 62;;;;;;
Zeugnis;;Hönigl, Dominik;Wagner, Aemilian;19030604;Seitenstetten;;S. 63;;;;;;
Weiheurkunde;;Hönigl, Dominik;Wagner, Aemilian;19040921;Seitenstetten;;S. 64;;;;;;
Vermögensregelung;;Wagner, Aemilian;;19040907;Seitenstetten;;S. 65;;;;;;
Bestätigung;;Wagner, Aemilian;;19050907;Seitenstetten;;S. 66;;;;;;
Zeugnis;;d'Hemptinne, Hildebrand;Wagner, Aemilian;19040627;Rom;;S. 67;;;;;;
Jurisdiktion;;Ordinariat St. Pölten;Wagner, Aemilian;19050712;St. Pölten;;S. 68;;;;;;
Skrutinium;;Hönigl, Dominik;Ordinariat St. Pölten;19050710;Seitenstetten;;S. 69-70;;;;;;
Weiheurkunde;;Kardinal Respighi;Wagner, Aemilian;19050617;Rom;;S. 71;;;;;;
Karte;3.1.460.2.6;Knauer, Vinzenz;Friess, Gottfried;18831001;Wien;Auskunft über den Standort des Nekriologiums des H. Petz;;;;;;;
Karte;3.1.460.2.7;Klemme, Josef;Friess, Gottfried;18901128;Wien;Nachfrage über einen Sonderdruck;;;;;;;
Karte;3.1.460.2.7;Klemme, Josef;Friess, Gottfried;18911122;Wien;Nachfrage zur Schreibweise eines Namens;;;;;;;
Brief;3.1.460.2.8;Waltenleitner, H. (Skriptor an der Hofbibliothek);Friess, Gottfried;18820607;Wien;Nachfrage über eine Korrektur der Geschichte der Minoriten in Österreich;;;;;;;
Brief;3.1.460.2.10;Achleuthner, Leonard;Friess, Gottfried;18790818;Kremsmünster;Antwort auf eine Einladung ins Stift, Mitteilung über Vollendung seines Anteils an der gemeinamen Arbeit;;;;;;;
Brief;3.1.460.2.10;Achleuthner, Leonard;Friess, Gottfried;18791220;Kremsmünster;Mitteilung über den Druck der gemeinsamen Arbeit (Druckerei Holzhausen), Status der Korrektur und der Arbeit an der Zeitschrift;;;;;;;
Brief;3.1.460.2.10;Achleuthner, Leonard;Friess, Gottfried;18801024;Kremsmünster;Verkündung Entscheidung über Druckart des Werkes,Mitteilung Status Korrektur, schreibt über viele Studenten im Gymnasium;;;;;;;
Brief;3.1.460.2.10;Achleuthner, Leonard;Friess, Gottfried;18791220;Kremsmünster;Nachfrage über Druck der Auflagen, Mitteilung über Qualität des Druckes und Korrektur;;;;;;;
Brief;3.1.460.2.15;Katschtahler, Eduard;Friess, Gottfried;18900302;Stift Melk;"Bitte um Vermittlung einer ""Festschrift zur 600. jährlichen Feier des Hauses Habsburg"", Frage über ""periodische Schriften der Akademie d. Wissenschaften""";;;;;;;
Brief;3.1.460.2.15;Katschthaler, Eduard;Friess, Gottfried;18900302;Stift Melk;"Bitte um Vermittlung einer ""Festschrift zur 600. jährlichen Feier des Hauses Habsburg"", Frage über ""periodische Schriften der Akademie d. Wissenschaften""";;;;;;;
Karte;3.1.460.2.15;Katschthaler, Eduard;Friess, Gottfried;18980518;Stift Melk;Katschthaler bedankt sich für ein Werk, welches Friess geschenkt hat an das Stift Melk sowie eine Abschrift eines Commisarsbericht;;;;;;;
Karte;3.1.460.2.15;Katschthaler, Eduard;Friess, Gottfried;19020724;Stift Melk;Dank für die Zusendung eines Aufsatzes;Korrespondenz-Karte mit einer Abbildung des Stiftgartens Melks;;;;;;
Karte;3.1.460.2.15;Katschthaler, Eduard;Friess, Gottfried;19031101;Stift Melk;"Dank für die Zusendung einer Arbeit Friess über ""Franzosen in Niederösterreich""";Abbildung vom Stift Melk auf der Karte;;;;;;
Brief;3.1.460.2.15;Katschthaler, Eduard;Friess, Gottfried;18890302;Stift Melk;Bitte um Unterstützung bei einer historischen Arbeit über Briefe eines P. Bernhard Pez;;;;;;;
Brief;3.1.460.2.15;Katschthaler, Eduard;Friess, Gottfried;18890302;Stift Melk;Bitte um Unterstützung bei einer historischen Arbeit über Briefe eines P. Bernhard Pez;;;;;;;
Brief;3.1.460.2.15;Katschthaler, Eduard;Friess, Gottfried;18980617;Stift Melk;Berichte über Bauernaufstände in NÖ;;;;;;;
Karte;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18950510;Wien;Dank für die Zusendung eines Werkes Friess  über die Geschichte des ehemaligen Nonnenklosters Traunkirchen;;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18820602;Wien;"Mitteilung und Bestätigung über Übergebung eines ""Heilthumsbüchlein"" an das k.k. österr. Museum, Übermittlung der Adresse eines Professors Zeissberg";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18871206;Wien;Wunsch der Besserung und Bitte sich bei der Arbeit zurückzunehmen;;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18921003;Wien;"Gratulation zu einer gelungenen Festrede für das 360 jährl. Jubiläum der Türkenbefreiung in Waidhofen an der Ybbs, Bitte um einen historischen Exkurs über Haag für ""Topographien von NÖ""";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18880827;Wien;"Übersendung eines Manuskriptes der ""Gerichts-Protokolle"" mit Bitte zur Unterfertigung einer Recepisse, Bitte um Bericht über die Feier der Enthüllung der Gedenktafel für die Brüder Pez sowie den gesamten Inhalt der Festrede, Bitte um Verzeichnis der Orte für Topographie von NÖ";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18780604;Wien;Zusendung des ersten Bürstenabzugs der für die Vereinsblätter eingesendeten Urkunden zur Geschichte Niederösterreichs in den Jahren 1460-1480, Mitteilung des Datums für die Sommerversammlung in Scheibbs, Bitte über Vortrag über Scheibbs;;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18780409;Wien;"Dank für die Besprechung von Friess über sein Werk im ""Vaterland""";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18830717;Wien;"Übergabe zweite Hälfte des ersten Bandes Mayers ""Buchdrucker-Geschichte Wiens 1482-1882"", Bericht über Besuch eines Bruder Friess";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18780826;Wien;Dank für Vortrag für den Verein [vermutl. für Landeskunde von Niederösterreich] an Friess, Bericht über Reise unter anderem von Scheibbs, nach Randegg, Maria-Zell, Mürzzuschlag, Bitte um Zusendung des gedruckten Berichts des Vortrags;;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18840430;Wien;"Bitte ein Gutachten für den Gymnasialdirektors Schober in Wiener Neustadt von der Schulbehörde rasch einzusenden, Schreibt des weiteren über seine Unschuld an dem ""Ausgang der Affaire"" mit dem Bruder Friess";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18940527;Wien;Gratulation zur Arbeit über den n.ö. Bauernaufstand, welcher in den Vereinsblättern gedruckt wurde, Frage über Honorar, Mitteilung über Zustand der Familie und kranke Tochter;;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18950223;Wien;"Dank im Vorraus für den Vortrag von Friess bei der Generalversammlung, Mitteilung über Einladung des ""Baron Haimberger"" mitsamt seiner Familie vom Verein";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18950604;Wien;"Dank für die Glückwünsche Friess für Mayers neuen Posten, Mitteilung einer geplanten Neu Organisierung von Archivsbibliothek, Anlage mit Fahnen-Correctur eines Artikels Friess über die ""Unehrlichen Leute in Österreich""";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18970221;Wien;"Sendung eines Sonderabdrucks Mayers Werk "" Geschichte der Stadt Wien"" (1. Band) …";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18970221;Wien;"Sendung eines Sonderabdrucks Mayers Werk "" Geschichte der Stadt Wien"" (1. Band), Mitteilung über Status der Urkunden zu dem ""Bauernaufstand""";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18960812;Strengberg;"Über Urlaub in Strengberg mit Familie, Dank an Friess für seine ""heimatlichen"" Forschungen, Mitteilung über viel Arbeit im Archiv wegen Reformen in diesem";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18680727;Wien;"Dank an Friess für Haltung eines Vortrags in St.Pölten, Dank für die Zusage der Unterstützung Friess für Mayers Studien ""über die Geschichte der Volksbildung und des Unterrichts-Wesens in Niederösterreich""";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18730225;Wien;Proposition für einen Beitrag Friess über die väterliche Geschichte für die Vereinsblätter (Honorar, Seperatabdrücke etc.);;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18820527;Wien;"Empfangsbestätigung für das ""Heilthumsbüchlein von 1502"" aus der Bibliothek des Stift Seitenstettens, Dank für die Beteiligung an einer Festschrift für den Verein, Bitte um Kontaktaufnahme mit Prof. Zeisberg für den Inhalt des Festvortrages";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18830101;Wien;"Neujahreswünsche, Sendung von Pottendorfer-Regesten&Exemplare der gemeinsamen Festschrift&Exemplare von ""Haselbachs Arbeit""";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18780806;Wien;Einladung zu Sommerversammlung in Scheibbs, Mitteilung über Versendung eines Begrüßungsschreiben des Ausschusses für Friess nach Waidhofen an der Ybbs;;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18780226;Wien;Dank für die lieben Worte Friess für Mayers Auszeichnung, Dank für Freundschaft;;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18891209;Wien;Schreibt über Nichterhaltung Friess eines gesendeten Briefes, Einladungsschreiben zu einer Feier des Vereins für Landeskunde von NÖ;;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18780319;Wien;Bitte um Vortrag in Scheibbs, inhaltliche Vorschläge für diesen;;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18890527;Wien;"Übersendung eines Aufsatzes Friess ""über den Einfall der Oberösterreicher nach Niederösterreich (1619)"" sowie Bitte um Korrektur, Einladung zu einer Jubel-Versammlung in Krems des Vereins für Landeskunde von Niederösterreich und Bitte um Vortrag, Frage nach Beiträgen für die Topographie";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18890514;Wien;"Entschuldigung für das verspätete Schreiben; Bitte um Bearbeitung der Orte Gafring, Galtberg, Galtbrunn, Gaising für die Topographie des Vereins Landeskunde von NÖ für Niederösterreich;  Bitte um Zusendung der Manuskripte des Abtes Dominik an das NÖ Landesarchiv zu schicken; Bitte um entlehnte Manuskripte vom Archiv, die nicht mehr benötigt werden, zurückzuschicken";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18920920;Wien;Bitte um Friess Vertretung des Vereins für Landeskunde für NÖ bei einem Jubiläumsfest in Waidhofen a.d. Ybbs mit Begrüßung und Glückwünschen in Namen des Vereines;;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18970208;Wien;"Dank für eine Arbeit Friess für die ""Blätter"" [vermutl. Vereinsblatt für Landeskunde von Niederösterreich], Bitte um Zusendung dieser Arbeit für Korrektur etc.; Informationen über Honorar, Korrekturspalten, Ausgabe durch den Buchhandel als selbstständiges Werk (wie bei Friess früheren Werk über die Kuenringer, welches vergriffen ist und Mayern sich eine 2. vermehrte Ausgabe wünscht)";;;;;;;
Brief;3.1.460.2.28;Mayer, Anton;Friess, Gottfried;18900913;Wien;Mayer lädt Friess zu einem Besuch ein, teilt ihm mit dass die Vereinsblätter des Vereins für Landeskunde in NÖ bald mit seinem Vortrag erscheinen. Mayer leitet eine Bitte eines Herrn Bauer weiter, seinen Sohn an Friess zu empfehlen, welcher in die Zweite Klasse im Konvikt in Seitenstetten kommt.;;;;;;;
