S1;S2;S3;S4;S5;S6;S7;Signatur;Benennung;Profitent;Abt;Datierungvon;Datierungbis;Höhe;Breite;Fläche;Material;Ausstattung;Sprache;Bemerkung;Nalt1;Nalt2;Sortierung;Text;Invocatio;Intitulatio;Arenga;Dispositio;Testes;Datierung22;FuI;Datierungvon2;Datierungbis2;Datierungtext
2;A;105;;;;;StAS 2.A.105;Professurkunde des Johannes Graff;Johannes Graff;Heinrich;15240603;15240603;142;235;33370;Pergament;Initiale I;Latein;;106;105;0002A0105000000000000;;;;;;;;"Abt: Heinrich 
Abmessungen (BxH in mm): 235x142";03.06.1524;03.06.1524;03.06.1524
2;A;106;;;;;StAS 2.A.106;Professurkunde des Johannes de Wolfspach;Johannes de Wolfspach;Heinrich;15250321;15250321;139;230;31970;Pergament;Initiale I;Latein;;107;106;0002A0106000000000000;;;;;;;;"Abt: Heinrich 
Abmessungen (BxH in mm): 230x139";21.03.1525;21.03.1525;21.03.1525
2;A;107;;;;;StAS 2.A.107;Professurkunde des Johannes Freidinger;Johannes Freidinger;Johannes;15341028;15341028;138;220;30360;Pergament;Initiale I;Latein;;108;107;0002A0107000000000000;;;;;;;;"Abt: Johannes 
Abmessungen (BxH in mm): 220x138";28.10.1534;28.10.1534;28.10.1534
2;A;108;;;;;StAS 2.A.108;Professurkunde des Caspar de Villa;Caspar de Villa;Johannes;15420225;15420225;207;156;32292;Pergament;Initiale I;Latein;;109;108;0002A0108000000000000;;;;;;;;"Abt: Johannes 
Abmessungen (BxH in mm): 156x207";25.02.1542;25.02.1542;25.02.1542
2;A;109;;;;;StAS 2.A.109;Professurkunde des Bartholomeus de Weissenpach;Bartholomeus de Weissenpach;Johannes;15431122;15431122;128;250;32000;Pergament;Initiale I, Kreuz zweifarbig;Latein;;110;109;0002A0109000000000000;;;;;;;;"Abt: Johannes 
Abmessungen (BxH in mm): 250x128";22.11.1543;22.11.1543;22.11.1543
2;A;110;;;;;StAS 2.A.110;Professurkunde des Kilianus de Hag;Kilianus de Hag;Johannes;15470312;15470312;156;236;36816;Pergament;Initiale I;Latein;;111;110;0002A0110000000000000;;;;;;;;"Abt: Johannes 
Abmessungen (BxH in mm): 236x156";12.03.1547;12.03.1547;12.03.1547
2;A;111;;;;;StAS 2.A.111;Professurkunde des Michael de Hag;Michael de Hag;Johannes;15470312;15470312;161;228;36708;Pergament;Initiale I;Latein;;112;111;0002A0111000000000000;;;;;;;;"Abt: Johannes 
Abmessungen (BxH in mm): 228x161";12.03.1547;12.03.1547;12.03.1547
2;A;112;;;;;StAS 2.A.112;Professurkunde des Georgius Sigl de Schrenberg;Georgius Sigl de Schrenberg;Johannes;15480702;15480702;122;242;29524;Pergament;Initiale I und andere Verzierungen;Latein;;113;112;0002A0112000000000000;;;;;;;;"Abt: Johannes 
Abmessungen (BxH in mm): 242x122";02.07.1548;02.07.1548;02.07.1548
2;A;113;;;;;StAS 2.A.113;Professurkunde des Vitus Hinterhueber;Vitus Hinterhueber;Georgius;15530517;15530517;198;252;49896;Pergament;Initiale I;Latein;;114;113;0002A0113000000000000;;;;;;;;"Abt: Georgius 
Abmessungen (BxH in mm): 252x198";17.05.1553;17.05.1553;17.05.1553
2;A;114;;;;;StAS 2.A.114;Professurkunde des Benedictus Schmidhauser;Benedictus Schmidhauser;Georgius;15530517;15530517;181;254;45974;Pergament;Initiale I;Latein;;115;114;0002A0114000000000000;;;;;;;;"Abt: Georgius 
Abmessungen (BxH in mm): 254x181";17.05.1553;17.05.1553;17.05.1553
2;A;115;;;;;StAS 2.A.115;Professurkunde des Silvester Puechhamer de Seitensteten;Silvester Puechhamer de Seitensteten;Georgius;15540702;15540702;180;241;43380;Pergament;Initiale I;Latein;;116;115;0002A0115000000000000;;;;;;;;"Abt: Georgius 
Abmessungen (BxH in mm): 241x180";02.07.1554;02.07.1554;02.07.1554
2;A;116;;;;;StAS 2.A.116;Professurkunde des Rupertus Kherzenmaindl de Waithoffen;Rupertus Kherzenmaindl de Waithoffen;Georgius;15600321;15600321;189;268;50652;Pergament;Initiale I;Latein;;117;116;0002A0116000000000000;;;;;;;;"Abt: Georgius 
Abmessungen (BxH in mm): 268x189";21.03.1560;21.03.1560;21.03.1560
